Year,Province,District,Dominant_Industry,Key_Anchor_Sectors,Anchor_firm_presence,Dominant_Value_Chain,Estimated_Number_of_SMEs,Estimated_Number_of_Employees,Production_Volume,Processing_Capacity,"Infrastructure (Roads, Electricity, Internet)",Logistics/Transport_Connectivity,Banking_Penetration (%),Access_to_Credit / Lending,Working_Capital_Gap_Score,Export_Oriented,Supply_Chain_Financing_Opportunity_Score,Opportunity_Level,Recommended_Banking_Product
2016,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture & Fruit ,21292,149044,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,69.47,Medium,PO Finance + Inventory Finance
2017,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture & Fruit ,21851,152957,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,69.47,Medium,PO Finance + Inventory Finance
2018,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture & Fruit ,22424,156968,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,69.47,Medium,PO Finance + Inventory Finance
2019,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture & Fruit ,23013,184104,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,69.47,Medium,PO Finance + Inventory Finance
2020,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture & Fruit ,23617,175710,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,69.47,Medium,PO Finance + Inventory Finance
2021,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture & Fruit ,24237,190018,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,69.47,Medium,PO Finance + Inventory Finance
2022,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture & Fruit ,24873,198984,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,71.45,High,PO Finance + Inventory Finance
2023,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture & Fruit ,25526,234329,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,71.45,High,PO Finance + Inventory Finance
2024,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture & Fruit ,26195,245185,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,71.45,High,PO Finance + Inventory Finance
2025,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture & Fruit ,26883,284960,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,71.45,High,PO Finance + Inventory Finance
2016,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,6785,47495,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,62.98,Medium,PO Finance + Inventory Finance
2017,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,6957,48699,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,62.98,Medium,PO Finance + Inventory Finance
2018,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,7134,49938,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,62.98,Medium,PO Finance + Inventory Finance
2019,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,7316,58528,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,62.98,Medium,PO Finance + Inventory Finance
2020,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,7502,55815,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,62.98,Medium,PO Finance + Inventory Finance
2021,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,7693,60313,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,62.98,Medium,PO Finance + Inventory Finance
2022,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,7888,63104,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,62.98,Medium,PO Finance + Inventory Finance
2023,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,8089,74257,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,62.98,Medium,PO Finance + Inventory Finance
2024,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,8295,77641,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,62.98,Medium,PO Finance + Inventory Finance
2025,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,8506,90164,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,64.97,Medium,PO Finance + Inventory Finance
2016,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2559,28149,High,High,Low,High,25.0,Low,2.3333333333333335,No,66.55,Medium,Inventory Finance
2017,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2589,28479,High,High,Low,High,25.0,Low,2.3333333333333335,No,66.55,Medium,Inventory Finance
2018,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2619,31428,High,High,Low,High,25.0,Low,2.3333333333333335,No,66.55,Medium,Inventory Finance
2019,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2650,31800,High,High,Low,High,25.0,Low,2.3333333333333335,No,66.55,Medium,Inventory Finance
2020,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2681,29920,High,High,Low,High,25.0,Low,2.3333333333333335,No,66.55,Medium,Inventory Finance
2021,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2713,34564,High,High,Low,High,25.0,Low,2.3333333333333335,No,66.55,Medium,Inventory Finance
2022,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2745,35685,High,High,Low,High,25.0,Low,2.3333333333333335,No,66.55,Medium,Inventory Finance
2023,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2777,39656,High,High,Low,High,25.0,Low,2.3333333333333335,No,66.55,Medium,Inventory Finance
2024,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2810,40914,High,High,Low,High,25.0,Low,2.3333333333333335,No,66.55,Medium,Inventory Finance
2025,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2843,45204,High,High,Low,High,25.0,Low,2.3333333333333335,No,66.55,Medium,Inventory Finance
2016,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Sugarcane ,9426,65982,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,66.65,Medium,PO Finance + Inventory Finance
2017,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Sugarcane ,9628,67396,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,66.65,Medium,PO Finance + Inventory Finance
2018,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Sugarcane ,9834,68838,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,66.65,Medium,PO Finance + Inventory Finance
2019,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Sugarcane ,10045,80360,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,66.65,Medium,PO Finance + Inventory Finance
2020,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Sugarcane ,10260,76334,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,66.65,Medium,PO Finance + Inventory Finance
2021,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Sugarcane ,10480,82163,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,66.65,Medium,PO Finance + Inventory Finance
2022,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Sugarcane ,10705,85640,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,68.52,Medium,PO Finance + Inventory Finance
2023,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Sugarcane ,10934,100374,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,68.52,Medium,PO Finance + Inventory Finance
2024,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Sugarcane ,11168,104532,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,68.52,Medium,PO Finance + Inventory Finance
2025,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Sugarcane ,11408,120925,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,68.52,Medium,PO Finance + Inventory Finance
2016,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm ,9505,66535,High,High,Medium,Medium,30.0,Low,2.6666666666666665,Yes,67.52,Medium,PO Finance + Inventory Finance
2017,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm ,9693,67851,High,High,Medium,Medium,30.0,Low,2.6666666666666665,Yes,67.52,Medium,PO Finance + Inventory Finance
2018,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm ,9884,69188,High,High,Medium,Medium,30.0,Low,2.6666666666666665,Yes,67.52,Medium,PO Finance + Inventory Finance
2019,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm ,10080,80640,High,High,Medium,Medium,30.0,Low,2.6666666666666665,Yes,67.52,Medium,PO Finance + Inventory Finance
2020,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm ,10279,76476,High,High,Medium,Medium,30.0,Low,2.6666666666666665,Yes,67.52,Medium,PO Finance + Inventory Finance
2021,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm ,10482,82179,High,High,Medium,Medium,30.0,Low,2.6666666666666665,Yes,67.52,Medium,PO Finance + Inventory Finance
2022,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm ,10689,85512,High,High,Medium,Medium,30.0,Low,2.6666666666666665,Yes,67.52,Medium,PO Finance + Inventory Finance
2023,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm ,10900,100062,High,High,Medium,Medium,30.0,Low,2.6666666666666665,Yes,69.5,Medium,PO Finance + Inventory Finance
2024,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm ,11116,104046,High,High,Medium,Medium,30.0,Low,2.6666666666666665,Yes,69.5,Medium,PO Finance + Inventory Finance
2025,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm ,11335,120151,High,High,Medium,Medium,30.0,Low,2.6666666666666665,Yes,69.5,Medium,PO Finance + Inventory Finance
2016,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,46035,690525,High,High,High,High,75.0,High,2.3333333333333335,Yes,74.33,High,PO Finance + Payables Finance + Receivables Discounting
2017,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,46956,704340,High,High,High,High,75.0,High,2.3333333333333335,Yes,74.33,High,PO Finance + Payables Finance + Receivables Discounting
2018,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,47895,766320,High,High,High,High,75.0,High,2.3333333333333335,Yes,74.33,High,PO Finance + Payables Finance + Receivables Discounting
2019,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,48853,781648,High,High,High,High,75.0,High,2.3333333333333335,Yes,74.33,High,PO Finance + Payables Finance + Receivables Discounting
2020,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,49830,741470,High,High,High,High,75.0,High,2.3333333333333335,Yes,74.33,High,PO Finance + Payables Finance + Receivables Discounting
2021,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,50826,846761,High,High,High,High,75.0,High,2.3333333333333335,Yes,74.33,High,PO Finance + Payables Finance + Receivables Discounting
2022,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,51843,881331,High,High,High,High,75.0,High,2.3333333333333335,Yes,74.33,High,PO Finance + Payables Finance + Receivables Discounting
2023,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,52880,970877,High,High,High,High,75.0,High,2.3333333333333335,Yes,74.33,High,PO Finance + Payables Finance + Receivables Discounting
2024,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,53937,1009701,High,High,High,High,75.0,High,2.3333333333333335,Yes,74.33,High,PO Finance + Payables Finance + Receivables Discounting
2025,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,55016,1108022,High,High,High,High,75.0,High,2.3333333333333335,Yes,74.33,High,PO Finance + Payables Finance + Receivables Discounting
2016,Punjab,Gujranwala,Light Engineering,Light Engineering,Yes,Light Engineering & Manufacturing,29022,522396,High,High,High,High,65.0,Medium,2.6666666666666665,Yes,77.48,High,PO Finance + Payables Finance + Receivables Discounting
2017,Punjab,Gujranwala,Light Engineering,Light Engineering,Yes,Light Engineering & Manufacturing,29870,537660,High,High,High,High,65.0,Medium,2.6666666666666665,Yes,77.48,High,PO Finance + Payables Finance + Receivables Discounting
2018,Punjab,Gujranwala,Light Engineering,Light Engineering,Yes,Light Engineering & Manufacturing,30742,584098,High,High,High,High,65.0,Medium,2.6666666666666665,Yes,77.48,High,PO Finance + Payables Finance + Receivables Discounting
2019,Punjab,Gujranwala,Light Engineering,Light Engineering,Yes,Light Engineering & Manufacturing,31640,601160,High,High,High,High,65.0,Medium,2.6666666666666665,Yes,77.48,High,PO Finance + Payables Finance + Receivables Discounting
2020,Punjab,Gujranwala,Light Engineering,Light Engineering,Yes,Light Engineering & Manufacturing,32564,575406,High,High,High,High,65.0,Medium,2.6666666666666665,Yes,77.48,High,PO Finance + Payables Finance + Receivables Discounting
2021,Punjab,Gujranwala,Light Engineering,Light Engineering,Yes,Light Engineering & Manufacturing,33516,656914,High,High,High,High,65.0,Medium,2.6666666666666665,Yes,77.48,High,PO Finance + Payables Finance + Receivables Discounting
2022,Punjab,Gujranwala,Light Engineering,Light Engineering,Yes,Light Engineering & Manufacturing,34495,689900,High,High,High,High,65.0,Medium,2.6666666666666665,Yes,77.48,High,PO Finance + Payables Finance + Receivables Discounting
2023,Punjab,Gujranwala,Light Engineering,Light Engineering,Yes,Light Engineering & Manufacturing,35502,760453,High,High,High,High,65.0,Medium,2.6666666666666665,Yes,77.48,High,PO Finance + Payables Finance + Receivables Discounting
2024,Punjab,Gujranwala,Light Engineering,Light Engineering,Yes,Light Engineering & Manufacturing,36539,798012,High,High,High,High,65.0,Medium,2.6666666666666665,Yes,77.48,High,PO Finance + Payables Finance + Receivables Discounting
2025,Punjab,Gujranwala,Light Engineering,Light Engineering,Yes,Light Engineering & Manufacturing,37607,876995,High,High,High,High,65.0,Medium,2.6666666666666665,Yes,77.48,High,PO Finance + Payables Finance + Receivables Discounting
2016,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1526,16786,High,High,Medium,Medium,50.0,Medium,2.0,No,65.77,Medium,Inventory Finance
2017,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1570,17270,High,High,Medium,Medium,50.0,Medium,2.0,No,65.77,Medium,Inventory Finance
2018,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1615,19380,High,High,Medium,Medium,50.0,Medium,2.0,No,65.77,Medium,Inventory Finance
2019,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1662,19944,High,High,Medium,Medium,50.0,Medium,2.0,No,65.77,Medium,Inventory Finance
2020,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1710,19084,High,High,Medium,Medium,50.0,Medium,2.0,No,65.77,Medium,Inventory Finance
2021,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1760,22422,High,High,Medium,Medium,50.0,Medium,2.0,No,65.77,Medium,Inventory Finance
2022,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1811,23543,High,High,Medium,Medium,50.0,Medium,2.0,No,65.77,Medium,Inventory Finance
2023,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1818,25961,High,High,Medium,Medium,50.0,Medium,2.0,No,65.77,Medium,Inventory Finance
2024,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1871,27242,High,High,Medium,Medium,50.0,Medium,2.0,No,65.77,Medium,Inventory Finance
2025,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1925,30608,High,High,Medium,Medium,50.0,Medium,2.0,No,65.77,Medium,Inventory Finance
2016,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,5801,98617,High,High,High,High,55.0,Medium,2.0,Yes,69.13,Medium,PO Finance + Payables Finance + Receivables Discounting
2017,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,5975,101575,High,High,High,High,55.0,Medium,2.0,Yes,69.13,Medium,PO Finance + Payables Finance + Receivables Discounting
2018,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,6154,110772,High,High,High,High,55.0,Medium,2.0,Yes,69.13,Medium,PO Finance + Payables Finance + Receivables Discounting
2019,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,6339,114102,High,High,High,High,55.0,Medium,2.0,Yes,69.13,Medium,PO Finance + Payables Finance + Receivables Discounting
2020,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,6529,109295,High,High,High,High,55.0,Medium,2.0,Yes,69.13,Medium,PO Finance + Payables Finance + Receivables Discounting
2021,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,6725,125220,High,High,High,High,55.0,Medium,2.0,Yes,69.13,Medium,PO Finance + Payables Finance + Receivables Discounting
2022,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,6927,131613,High,High,High,High,55.0,Medium,2.0,Yes,69.13,Medium,PO Finance + Payables Finance + Receivables Discounting
2023,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,6998,142759,High,High,High,High,55.0,Medium,2.0,Yes,69.13,Medium,PO Finance + Payables Finance + Receivables Discounting
2024,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,7208,149926,High,High,High,High,55.0,Medium,2.0,Yes,69.13,Medium,PO Finance + Payables Finance + Receivables Discounting
2025,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,7424,165258,High,High,High,High,55.0,Medium,2.0,Yes,69.13,Medium,PO Finance + Payables Finance + Receivables Discounting
2016,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,12884,193260,Medium,Medium,High,High,65.0,Medium,2.0,Yes,66.05,Medium,PO Finance + Payables Finance + Receivables Discounting
2017,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,13102,196530,Medium,Medium,High,High,65.0,Medium,2.0,Yes,66.05,Medium,PO Finance + Payables Finance + Receivables Discounting
2018,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,13324,213184,Medium,Medium,High,High,65.0,Medium,2.0,Yes,68.03,Medium,PO Finance + Payables Finance + Receivables Discounting
2019,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,13550,216800,Medium,Medium,High,High,65.0,Medium,2.0,Yes,68.03,Medium,PO Finance + Payables Finance + Receivables Discounting
2020,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,13779,205032,Medium,Medium,High,High,65.0,Medium,2.0,Yes,68.03,Medium,PO Finance + Payables Finance + Receivables Discounting
2021,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,14012,233440,Medium,Medium,High,High,65.0,Medium,2.0,Yes,68.03,Medium,PO Finance + Payables Finance + Receivables Discounting
2022,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,14249,242233,Medium,Medium,High,High,65.0,Medium,2.0,Yes,68.03,Medium,PO Finance + Payables Finance + Receivables Discounting
2023,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,14491,266055,Medium,Medium,High,High,65.0,Medium,2.0,Yes,68.03,Medium,PO Finance + Payables Finance + Receivables Discounting
2024,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,14736,275858,Medium,Medium,High,High,65.0,Medium,2.0,Yes,68.03,Medium,PO Finance + Payables Finance + Receivables Discounting
2025,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,14985,301798,Medium,Medium,High,High,65.0,Medium,2.0,Yes,68.03,Medium,PO Finance + Payables Finance + Receivables Discounting
2016,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,11586,92688,Medium,Medium,High,High,75.0,High,1.6666666666666667,Yes,63.12,Medium,Receivables Discounting / Factoring
2017,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,11934,95472,Medium,Medium,High,High,75.0,High,1.6666666666666667,Yes,63.12,Medium,Receivables Discounting / Factoring
2018,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,12292,98336,Medium,Medium,High,High,75.0,High,1.6666666666666667,Yes,63.12,Medium,Receivables Discounting / Factoring
2019,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,12661,113949,Medium,Medium,High,High,75.0,High,1.6666666666666667,Yes,63.12,Medium,Receivables Discounting / Factoring
2020,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,13041,109153,Medium,Medium,High,High,75.0,High,1.6666666666666667,Yes,63.12,Medium,Receivables Discounting / Factoring
2021,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,13432,118470,Medium,Medium,High,High,75.0,High,1.6666666666666667,Yes,63.12,Medium,Receivables Discounting / Factoring
2022,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,13835,138350,Medium,Medium,High,High,75.0,High,1.6666666666666667,Yes,63.12,Medium,Receivables Discounting / Factoring
2023,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,14250,145350,Medium,Medium,High,High,75.0,High,1.6666666666666667,Yes,63.12,Medium,Receivables Discounting / Factoring
2024,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,14677,152641,Medium,Medium,High,High,75.0,High,1.6666666666666667,Yes,63.12,Medium,Receivables Discounting / Factoring
2025,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,15118,176276,Medium,Medium,High,High,75.0,High,1.6666666666666667,Yes,63.12,Medium,Receivables Discounting / Factoring
2016,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,17076,119532,Low,Medium,High,High,95.0,High,1.6666666666666667,No,61.2,Medium,Distributor / Channel Finance
2017,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,17702,123914,Low,Medium,High,High,95.0,High,1.6666666666666667,No,61.2,Medium,Distributor / Channel Finance
2018,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,18351,128457,Low,Medium,High,High,95.0,High,1.6666666666666667,No,61.2,Medium,Distributor / Channel Finance
2019,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,19023,152184,Low,Medium,High,High,95.0,High,1.6666666666666667,No,61.2,Medium,Distributor / Channel Finance
