Year,Province,District,Dominant_Industry,Key_Anchor_Sectors,Anchor_firm_presence,Dominant_Value_Chain,Estimated_Number_of_SMEs,Estimated_Number_of_Employees,Production_Volume,Processing_Capacity,"Infrastructure (Roads, Electricity, Internet)",Logistics/Transport_Connectivity,Banking_Penetration (%),Access_to_Credit / Lending,Working_Capital_Gap_Score,Estimated_Production_Volume,Export_Oriented,Supply_Chain_Financing_Opportunity_Score,Opportunity_Level,Recommended_Banking_Product
2017,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,6957,48699,Medium,High,Low,Medium,25.0,Low,75.0,292194,Yes,55.67,Low,PO Finance + Inventory Finance
2018,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,7134,49938,Medium,High,Low,Medium,25.0,Low,75.0,299628,Yes,55.67,Low,PO Finance + Inventory Finance
2019,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,7316,58528,Medium,High,Low,Medium,25.0,Low,75.0,351168,Yes,55.67,Low,PO Finance + Inventory Finance
2020,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,7502,55815,Medium,High,Low,Medium,25.0,Low,75.0,360096,Yes,55.67,Low,PO Finance + Inventory Finance
2021,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,7693,60313,Medium,High,Low,Medium,25.0,Low,75.0,369264,Yes,55.67,Low,PO Finance + Inventory Finance
2022,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,7888,63104,Medium,High,Low,Medium,25.0,Low,75.0,378624,Yes,55.67,Low,PO Finance + Inventory Finance
2023,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,8089,74257,Medium,High,Low,Medium,25.0,Low,75.0,436806,Yes,55.67,Low,PO Finance + Inventory Finance
2024,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,8295,77641,Medium,High,Low,Medium,25.0,Low,75.0,447930,Yes,55.67,Low,PO Finance + Inventory Finance
2025,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,8506,90164,Medium,High,Low,Medium,25.0,Low,75.0,1020720,Yes,57.0,Low,PO Finance + Inventory Finance
2016,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2559,28149,Medium,High,Low,High,25.0,Low,75.0,168894,No,64.23,Medium,Inventory Finance
2017,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2589,28479,Medium,High,Low,High,25.0,Low,75.0,170874,No,64.23,Medium,Inventory Finance
2018,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2619,31428,Medium,High,Low,High,25.0,Low,75.0,188568,No,64.23,Medium,Inventory Finance
2019,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2650,31800,Medium,High,Low,High,25.0,Low,75.0,190800,No,64.23,Medium,Inventory Finance
2020,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2681,29920,Medium,High,Low,High,25.0,Low,75.0,193032,No,64.23,Medium,Inventory Finance
2021,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2713,34564,Medium,High,Low,High,25.0,Low,75.0,211614,No,64.23,Medium,Inventory Finance
2022,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2745,35685,Medium,High,Low,High,25.0,Low,75.0,214110,No,64.23,Medium,Inventory Finance
2023,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2777,39656,Medium,High,Low,High,25.0,Low,75.0,233268,No,64.23,Medium,Inventory Finance
2024,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2810,40914,Medium,High,Low,High,25.0,Low,75.0,236040,No,64.23,Medium,Inventory Finance
2025,Balochistan,Chaman,Transport & Logistics,Transport & Logistics,No,Horticulture,2843,45204,Medium,High,Low,High,25.0,Low,75.0,255870,No,64.23,Medium,Inventory Finance
2016,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9426,65982,Medium,High,Medium,High,40.0,Low,75.0,791784,Yes,58.05,Low,PO Finance + Inventory Finance
2017,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9628,67396,Medium,High,Medium,High,40.0,Low,75.0,808752,Yes,58.05,Low,PO Finance + Inventory Finance
2018,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9834,68838,Medium,High,Medium,High,40.0,Low,75.0,826056,Yes,58.05,Low,PO Finance + Inventory Finance
2019,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10045,80360,Medium,High,Medium,High,40.0,Low,75.0,964320,Yes,58.05,Low,PO Finance + Inventory Finance
2020,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10260,76334,Medium,High,Medium,High,40.0,Low,75.0,984960,Yes,58.05,Low,PO Finance + Inventory Finance
2021,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10480,82163,Medium,High,Medium,High,40.0,Low,75.0,1006080,Yes,58.05,Low,PO Finance + Inventory Finance
2022,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10705,85640,Medium,High,Medium,High,40.0,Low,75.0,2055360,Yes,59.47,Low,PO Finance + Inventory Finance
2023,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10934,100374,Medium,High,Medium,High,40.0,Low,75.0,2361744,Yes,59.47,Low,PO Finance + Inventory Finance
2024,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,11168,104532,Medium,High,Medium,High,40.0,Low,75.0,2412288,Yes,59.47,Low,PO Finance + Inventory Finance
2025,Khyber Pakhtunkhwa,Charsadda,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,11408,120925,Medium,High,Medium,High,40.0,Low,75.0,2737920,Yes,59.47,Low,PO Finance + Inventory Finance
2016,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9505,66535,Medium,High,Medium,Medium,30.0,Low,83.33,798420,Yes,59.23,Low,PO Finance + Inventory Finance
2017,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9693,67851,Medium,High,Medium,Medium,30.0,Low,83.33,814212,Yes,59.23,Low,PO Finance + Inventory Finance
2018,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9884,69188,Medium,High,Medium,Medium,30.0,Low,83.33,830256,Yes,59.23,Low,PO Finance + Inventory Finance
2019,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10080,80640,Medium,High,Medium,Medium,30.0,Low,83.33,967680,Yes,59.23,Low,PO Finance + Inventory Finance
2020,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10279,76476,Medium,High,Medium,Medium,30.0,Low,83.33,986784,Yes,59.23,Low,PO Finance + Inventory Finance
2021,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10482,82179,Medium,High,Medium,Medium,30.0,Low,83.33,1006272,Yes,59.23,Low,PO Finance + Inventory Finance
2022,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10689,85512,Medium,High,Medium,Medium,30.0,Low,83.33,1026144,Yes,59.23,Low,PO Finance + Inventory Finance
2023,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10900,100062,Medium,High,Medium,Medium,30.0,Low,83.33,2354400,Yes,60.65,Medium,PO Finance + Inventory Finance
2024,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,11116,104046,Medium,High,Medium,Medium,30.0,Low,83.33,2401056,Yes,60.65,Medium,PO Finance + Inventory Finance
2025,Khyber Pakhtunkhwa,Dera Ismail Khan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,11335,120151,Medium,High,Medium,Medium,30.0,Low,83.33,2720400,Yes,60.65,Medium,PO Finance + Inventory Finance
2016,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,46035,690525,High,High,High,High,75.0,High,75.0,55932525,Yes,77.63,Medium,PO Finance + Payables Finance + Receivables Discounting
2017,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,46956,704340,High,High,High,High,75.0,High,75.0,57051540,Yes,77.63,Medium,PO Finance + Payables Finance + Receivables Discounting
2018,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,47895,766320,High,High,High,High,75.0,High,75.0,62071920,Yes,77.63,Medium,PO Finance + Payables Finance + Receivables Discounting
2019,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,48853,781648,High,High,High,High,75.0,High,75.0,63313488,Yes,77.63,Medium,PO Finance + Payables Finance + Receivables Discounting
2020,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,49830,741470,High,High,High,High,75.0,High,75.0,64579680,Yes,77.63,Medium,PO Finance + Payables Finance + Receivables Discounting
2021,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,50826,846761,High,High,High,High,75.0,High,75.0,69987402,Yes,77.63,Medium,PO Finance + Payables Finance + Receivables Discounting
2022,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,51843,881331,High,High,High,High,75.0,High,75.0,71387811,Yes,77.63,Medium,PO Finance + Payables Finance + Receivables Discounting
2023,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,52880,970877,High,High,High,High,75.0,High,75.0,77099040,Yes,77.63,Medium,PO Finance + Payables Finance + Receivables Discounting
2024,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,53937,1009701,High,High,High,High,75.0,High,75.0,78640146,Yes,77.63,Medium,PO Finance + Payables Finance + Receivables Discounting
2025,Punjab,Faisalabad,Textile & Apparel,Textile & Apparel,Yes,Textile,55016,1108022,High,High,High,High,75.0,High,75.0,84669624,Yes,77.63,Medium,PO Finance + Payables Finance + Receivables Discounting
2016,Punjab,Gujranwala,Light Engineering,Textile & Apparel,Yes,Light Engineering & Manufacturing,29022,522396,High,High,High,High,65.0,Medium,83.33,42314076,Yes,80.05,High,PO Finance + Payables Finance + Receivables Discounting
2017,Punjab,Gujranwala,Light Engineering,Textile & Apparel,Yes,Light Engineering & Manufacturing,29870,537660,High,High,High,High,65.0,Medium,83.33,43550460,Yes,80.05,High,PO Finance + Payables Finance + Receivables Discounting
2018,Punjab,Gujranwala,Light Engineering,Textile & Apparel,Yes,Light Engineering & Manufacturing,30742,584098,High,High,High,High,65.0,Medium,83.33,47311938,Yes,80.05,High,PO Finance + Payables Finance + Receivables Discounting
2019,Punjab,Gujranwala,Light Engineering,Textile & Apparel,Yes,Light Engineering & Manufacturing,31640,601160,High,High,High,High,65.0,Medium,83.33,48693960,Yes,80.05,High,PO Finance + Payables Finance + Receivables Discounting
2020,Punjab,Gujranwala,Light Engineering,Textile & Apparel,Yes,Light Engineering & Manufacturing,32564,575406,High,High,High,High,65.0,Medium,83.33,50115996,Yes,80.05,High,PO Finance + Payables Finance + Receivables Discounting
2021,Punjab,Gujranwala,Light Engineering,Textile & Apparel,Yes,Light Engineering & Manufacturing,33516,656914,High,High,High,High,65.0,Medium,83.33,54295920,Yes,80.05,High,PO Finance + Payables Finance + Receivables Discounting
2022,Punjab,Gujranwala,Light Engineering,Textile & Apparel,Yes,Light Engineering & Manufacturing,34495,689900,High,High,High,High,65.0,Medium,83.33,55881900,Yes,80.05,High,PO Finance + Payables Finance + Receivables Discounting
2023,Punjab,Gujranwala,Light Engineering,Textile & Apparel,Yes,Light Engineering & Manufacturing,35502,760453,High,High,High,High,65.0,Medium,83.33,60388902,Yes,80.05,High,PO Finance + Payables Finance + Receivables Discounting
2024,Punjab,Gujranwala,Light Engineering,Textile & Apparel,Yes,Light Engineering & Manufacturing,36539,798012,High,High,High,High,65.0,Medium,83.33,62152839,Yes,80.05,High,PO Finance + Payables Finance + Receivables Discounting
2025,Punjab,Gujranwala,Light Engineering,Textile & Apparel,Yes,Light Engineering & Manufacturing,37607,876995,High,High,High,High,65.0,Medium,83.33,67015674,Yes,80.05,High,PO Finance + Payables Finance + Receivables Discounting
2016,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1526,16786,Medium,High,Medium,Medium,50.0,Medium,66.67,100716,No,69.58,Medium,Inventory Finance
2017,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1570,17270,Medium,High,Medium,Medium,50.0,Medium,66.67,103620,No,69.58,Medium,Inventory Finance
2018,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1615,19380,Medium,High,Medium,Medium,50.0,Medium,66.67,116280,No,69.58,Medium,Inventory Finance
2019,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1662,19944,Medium,High,Medium,Medium,50.0,Medium,66.67,119664,No,69.58,Medium,Inventory Finance
2020,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1710,19084,Medium,High,Medium,Medium,50.0,Medium,66.67,123120,No,69.58,Medium,Inventory Finance
2021,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1760,22422,Medium,High,Medium,Medium,50.0,Medium,66.67,137280,No,69.58,Medium,Inventory Finance
2022,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1811,23543,Medium,High,Medium,Medium,50.0,Medium,66.67,141258,No,69.58,Medium,Inventory Finance
2023,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1818,25961,Medium,High,Medium,Medium,50.0,Medium,66.67,152712,No,69.58,Medium,Inventory Finance
2024,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1871,27242,Medium,High,Medium,Medium,50.0,Medium,66.67,157164,No,69.58,Medium,Inventory Finance
2025,Balochistan,Gwadar,Transport & Logistics,Transport & Logistics,Yes,Fisheries,1925,30608,Medium,High,Medium,Medium,50.0,Medium,66.67,173250,No,69.58,Medium,Inventory Finance
2016,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,5801,98617,High,High,High,High,55.0,Medium,66.67,1775106,Yes,68.57,Medium,PO Finance + Payables Finance + Receivables Discounting
2017,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,5975,101575,High,High,High,High,55.0,Medium,66.67,1828350,Yes,68.57,Medium,PO Finance + Payables Finance + Receivables Discounting
2018,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,6154,110772,High,High,High,High,55.0,Medium,66.67,1993896,Yes,68.57,Medium,PO Finance + Payables Finance + Receivables Discounting
2019,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,6339,114102,High,High,High,High,55.0,Medium,66.67,2053836,Yes,68.57,Medium,PO Finance + Payables Finance + Receivables Discounting
2020,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,6529,109295,High,High,High,High,55.0,Medium,66.67,2115396,Yes,68.57,Medium,PO Finance + Payables Finance + Receivables Discounting
2021,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,6725,125220,High,High,High,High,55.0,Medium,66.67,2299950,Yes,68.57,Medium,PO Finance + Payables Finance + Receivables Discounting
2022,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,6927,131613,High,High,High,High,55.0,Medium,66.67,2369034,Yes,68.57,Medium,PO Finance + Payables Finance + Receivables Discounting
2023,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,6998,142759,High,High,High,High,55.0,Medium,66.67,2519280,Yes,68.57,Medium,PO Finance + Payables Finance + Receivables Discounting
2024,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,7208,149926,High,High,High,High,55.0,Medium,66.67,2594880,Yes,68.57,Medium,PO Finance + Payables Finance + Receivables Discounting
2025,Khyber Pakhtunkhwa,Haripur,Manufacturing,Manufacturing,Yes,Agriculture & Food Processing,7424,165258,High,High,High,High,55.0,Medium,66.67,2806272,Yes,68.57,Medium,PO Finance + Payables Finance + Receivables Discounting
2016,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,12884,193260,High,Medium,High,High,65.0,Medium,75.0,4638240,Yes,68.38,Medium,PO Finance + Payables Finance + Receivables Discounting
2017,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,13102,196530,High,Medium,High,High,65.0,Medium,75.0,4716720,Yes,68.38,Medium,PO Finance + Payables Finance + Receivables Discounting
2018,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,13324,213184,High,Medium,High,High,65.0,Medium,75.0,7674624,Yes,69.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2019,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,13550,216800,High,Medium,High,High,65.0,Medium,75.0,7804800,Yes,69.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2020,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,13779,205032,High,Medium,High,High,65.0,Medium,75.0,7936704,Yes,69.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2021,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,14012,233440,High,Medium,High,High,65.0,Medium,75.0,8575344,Yes,69.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2022,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,14249,242233,High,Medium,High,High,65.0,Medium,75.0,8720388,Yes,69.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2023,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,14491,266055,High,Medium,High,High,65.0,Medium,75.0,9390168,Yes,69.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2024,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,14736,275858,High,Medium,High,High,65.0,Medium,75.0,9548928,Yes,69.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2025,Sindh,Hyderabad,Textile & Apparel,Textile & Apparel,Yes,Cotton & Textile,14985,301798,High,Medium,High,High,65.0,Medium,75.0,10249740,Yes,69.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2016,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,11586,92688,Medium,Medium,High,High,75.0,High,50.0,1483008,Yes,64.08,Medium,Receivables Discounting / Factoring
2017,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,11934,95472,Medium,Medium,High,High,75.0,High,50.0,1527552,Yes,64.08,Medium,Receivables Discounting / Factoring
2018,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,12292,98336,Medium,Medium,High,High,75.0,High,50.0,1573376,Yes,64.08,Medium,Receivables Discounting / Factoring
2019,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,12661,113949,Medium,Medium,High,High,75.0,High,50.0,1823184,Yes,64.08,Medium,Receivables Discounting / Factoring
2020,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,13041,109153,Medium,Medium,High,High,75.0,High,50.0,1877904,Yes,64.08,Medium,Receivables Discounting / Factoring
2021,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,13432,118470,Medium,Medium,High,High,75.0,High,50.0,1934208,Yes,64.08,Medium,Receivables Discounting / Factoring
2022,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,13835,138350,Medium,Medium,High,High,75.0,High,50.0,2213600,Yes,64.08,Medium,Receivables Discounting / Factoring
2023,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,14250,145350,Medium,Medium,High,High,75.0,High,50.0,2280000,Yes,64.08,Medium,Receivables Discounting / Factoring
2024,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,14677,152641,Medium,Medium,High,High,75.0,High,50.0,2348320,Yes,64.08,Medium,Receivables Discounting / Factoring
2025,Punjab,Islamabad,Professional Services,Professional Services,Yes,IT & Services,15118,176276,Medium,Medium,High,High,75.0,High,50.0,2660768,Yes,64.08,Medium,Receivables Discounting / Factoring
2016,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,17076,119532,High,Medium,High,High,95.0,High,66.67,4303152,No,61.0,Medium,Distributor / Channel Finance
2017,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,17702,123914,High,Medium,High,High,95.0,High,66.67,4460904,No,61.0,Medium,Distributor / Channel Finance
2018,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,18351,128457,High,Medium,High,High,95.0,High,66.67,4624452,No,61.0,Medium,Distributor / Channel Finance
2019,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,19023,152184,High,Medium,High,High,95.0,High,66.67,5478624,No,61.0,Medium,Distributor / Channel Finance
