District,Province,Major Export Products,Key_Export_Destinations,Major_Import_Products,Key_Import_Sources
Karachi West,Sindh,IT & Digital Business Services,"USA, UK, Germany, Netherlands, Italy",Industrial Machinery & Materials,"China, UAE, Saudi Arabia, Germany"
Korangi,Sindh,Textiles & Industrial Goods,"UAE, China, Saudi Arabia, Oman",Energy & Industrial Equipment,"China, UAE, Saudi Arabia, USA"
Kemari,Sindh,"Port Services, Fisheries, Logistics Services","UAE, Saudi Arabia, China, Afghanistan",Energy & Industrial Equipment,"UAE, Saudi Arabia, China, Qatar"
Malir,Sindh,Agri-Commodity & Food Products,"USA, UK, Germany, UAE",Agricultural Inputs & Machinery,"China, Saudi Arabia, UAE, USA"
Hyderabad,Sindh,Agri-Commodity & Food Products,"UAE, China, Afghanistan, Saudi Arabia",Industrial Machinery & Materials,"China, UAE, Saudi Arabia, USA"
Sukkur,Sindh,Agri-Commodity & Food Products,"UAE, China, Afghanistan, Saudi Arabia",Agricultural Inputs & Machinery,"China, UAE, Saudi Arabia, USA"
Larkana,Sindh,Agri-Commodity & Food Products,"Afghanistan, UAE, China, Central Asia",Agricultural Inputs & Machinery,"China, UAE, Saudi Arabia, USA"
Peshawar,Khyber Pakhtunkhwa,Agri-Commodity & Food Products,"Afghanistan, USA, UK, UAE",Industrial Machinery & Materials,"China, UAE, USA, South Korea"
Mardan,Khyber Pakhtunkhwa,Agri-Commodity & Food Products,"UAE, Saudi Arabia, UK, USA",Industrial Machinery & Materials,"China, UAE, South Korea, Japan"
Swat,Khyber Pakhtunkhwa,"Tourism Services, Handicrafts, Fruits","UAE, Saudi Arabia, UK, USA",Construction & Industrial Equipment,"China, UAE, Saudi Arabia, Turkey"
Abbottabad,Khyber Pakhtunkhwa,Agri-Commodity & Food Products,"Afghanistan, UAE, China, Saudi Arabia",Construction & Industrial Equipment,"China, UAE, Saudi Arabia, USA"
Mansehra,Khyber Pakhtunkhwa,"Cement, Fertilizers, Textiles & Yarn","China, UAE, Afghanistan, Saudi Arabia",Agricultural Inputs & Machinery,"China, UAE, Saudi Arabia, USA"
Kohat,Khyber Pakhtunkhwa,Agri-Commodity & Food Products,"Afghanistan, UAE, China, Saudi Arabia",Energy & Industrial Equipment,"UAE, China, Saudi Arabia, USA"
Bannu,Khyber Pakhtunkhwa,Engineering & Industrial Products,"Afghanistan, UAE, China, Saudi Arabia",Construction & Industrial Equipment,"China, UAE, Saudi Arabia, USA"
Dera Ismail Khan,Khyber Pakhtunkhwa,Engineering & Industrial Products,"Afghanistan, China, UAE, USA",Agricultural Inputs & Machinery,"China, UAE, Saudi Arabia, USA"
Haripur,Khyber Pakhtunkhwa,"Minerals, Marble, Chromite","China, UAE, Saudi Arabia, Central Asia",Industrial Machinery & Materials,"China, UAE, Saudi Arabia, Germany"
Charsadda,Khyber Pakhtunkhwa,Agri-Commodity & Food Products,"Afghanistan, Iran, UAE, China",Agricultural Inputs & Machinery,"China, UAE, Saudi Arabia, USA"
Quetta,Balochistan,"Livestock, Wool, Hides & Skins","China, UAE, Oman, Saudi Arabia",Construction & Industrial Equipment,"China, UAE, Iran, Saudi Arabia"
Gwadar,Balochistan,"Minerals, Marble, Chromite","China, Afghanistan, USA, Sri Lanka",Energy & Industrial Equipment,"UAE, Saudi Arabia, China, Japan"
Khuzdar,Balochistan,"Coal, Livestock, Agricultural Products","UAE, Oman, Saudi Arabia, Afghanistan","Port, Logistics & Heavy Equipment","China, UAE, Saudi Arabia, Qatar"
Turbat,Balochistan,Agri-Commodity & Food Products,"Afghanistan, UAE, Saudi Arabia, China",Mining & Industrial Equipment,"China, UAE, Saudi Arabia, Oman"
Zhob,Balochistan,Agri-Commodity & Food Products,"UAE, Saudi Arabia, Afghanistan, China",Agricultural Inputs & Machinery,"China, UAE, Saudi Arabia, Iran"
Sibi,Balochistan,Agri-Commodity & Food Products,"Afghanistan, Iran, UAE, Central Asia",Agricultural Inputs & Machinery,"China, UAE, Saudi Arabia, USA"
Chaman,Balochistan,Agri-Commodity & Food Products,"Afghanistan, UAE, Iran, Central Asia",Construction & Industrial Equipment,"China, UAE, Saudi Arabia, Turkey"
Pishin,Balochistan,Engineering & Industrial Products,"Afghanistan, UAE, Iran, Saudi Arabia",Agricultural Inputs & Machinery,"China, UAE, Saudi Arabia, Iran"
Mastung,Balochistan,Engineering & Industrial Products,"Afghanistan, UAE, Saudi Arabia, China",Industrial Machinery & Materials,"China, UAE, Saudi Arabia, Iran"
Lasbela,Balochistan,Engineering & Industrial Products,"Afghanistan, UAE, Saudi Arabia, China",Industrial Machinery & Materials,"China, UAE, Saudi Arabia, China"
